DCL,DCm,DCl
-0.09,0.2771,-0.048629
-0.079,0.2423,-0.041712
-0.047,0.1437,-0.023788
-0.024,0.0719,-0.011894
0.0,-0.01,0.0
0.024,-0.0719,0.011894
0.047,-0.1437,0.023788
0.079,-0.2423,0.041712
0.09,-0.2778,0.048629
