CD,CL,Cm,CYb,Cnb,Clb,CLq,Cmq,CLad,Cmad,Clp,CYp,Cnp,Cnr,Clr
0.024477311376988917,-0.19681418030878345,0.0041000540621587275,-0.001233,0.0001328,-0.001739,0.07048,-0.1972,0.01316,-0.05314,-0.008859,-0.002995,-0.0001446,-0.000175,0.0005564
0.022761797827239992,-0.08986115442075489,0.004100015171558447,-0.001233,0.0001328,-0.001739,0.07048,-0.1972,0.01316,-0.05314,-0.008859,-0.002995,-0.0001446,-0.000175,0.0005564
0.022326341248083397,0.0170924295064394,0.004100003193514679,-0.001233,0.0001328,-0.001739,0.07048,-0.1972,0.01316,-0.05314,-0.008859,-0.002995,-0.0001446,-0.000175,0.0005564
0.023170924928541017,0.12404617062882492,0.0040999999095281325,-0.001233,0.0001328,-0.001739,0.07048,-0.1972,0.01316,-0.05314,-0.008859,-0.002995,-0.0001446,-0.000175,0.0005564
0.025295544349571392,0.23099993037581765,-9.999996985966131e-05,-0.001233,0.0001328,-0.001751,0.07048,-0.1972,0.01315,-0.05312,-0.009059,-0.003145,-0.0002583,-0.0001904,0.0009765
0.028700197523562804,0.3379536336495331,-0.004099999941997473,-0.001233,0.0001328,-0.001763,0.07048,-0.1972,0.01365,-0.05512,-0.009252,-0.003296,-0.0003705,-0.000215,0.001406
0.033384881101216464,0.44490715954582083,-0.00929999884108066,-0.001233,0.0001328,-0.001775,0.07048,-0.1972,0.0143,-0.05776,-0.009427,-0.00345,-0.0004819,-0.0002494,0.001844
0.03934958656993644,0.5518601949215861,-0.015599992724073785,-0.001233,0.0001328,-0.001788,0.07048,-0.1972,0.01471,-0.05942,-0.009585,-0.003605,-0.0005927,-0.0002938,0.002289
0.04659429236436683,0.6588118939989088,-0.021899972071827034,-0.001233,0.0001328,-0.001801,0.07048,-0.1972,0.01478,-0.05972,-0.009725,-0.003761,-0.0007036,-0.0003488,0.00274
0.055118944600110915,0.7657599994118419,-0.028699902622618973,-0.001233,0.0001328,-0.001814,0.07048,-0.1972,0.01483,-0.05989,-0.009845,-0.003919,-0.0008151,-0.0004145,0.003197
0.06492340908056038,0.8726985601379874,-0.03439972637378861,-0.001233,0.0001328,-0.001827,0.07048,-0.1972,0.01485,-0.05998,-0.009948,-0.004079,-0.0009277,-0.0004911,0.003659
0.07600735094983206,0.9796120402078873,-0.04149915624804264,-0.001233,0.0001328,-0.001841,0.07048,-0.1972,0.01478,-0.05969,-0.01003,-0.004241,-0.001042,-0.0005787,0.004124
0.088369930760476,1.0864602049027248,-0.04879750312873304,-0.001233,0.0001328,-0.001854,0.07048,-0.1972,0.01416,-0.05721,-0.009854,-0.004414,-0.001188,-0.0006774,0.004591
0.10200903098117961,1.193139574482812,-0.05779223760084377,-0.001233,0.0001328,-0.001867,0.07048,-0.1972,0.01314,-0.05309,-0.008985,-0.004613,-0.001422,-0.0007815,0.005037
